page_id,year,document_id,document_page_number,printed_label,section,page_type,page_type_raw,confidence,free_text,row_count,uncertainty_count,page_image_path,source_json_path,tesseract_text_path
page:2018-13:0005,2018,2018-13,5,Page 5 of 7,Periodic Transaction Report - attached transaction table,ptr_transactions,ptr,high,,3,0,docs/2018-13/pages/page-005.jpg,docs/2018-13/text/page-005.json,docs/2018-13/tess/page-005.txt
page:2018-13:0006,2018,2018-13,6,Page 6 of 7,Periodic Transaction Report - attached transaction table,ptr_transactions,ptr,high,,3,0,docs/2018-13/pages/page-006.jpg,docs/2018-13/text/page-006.json,docs/2018-13/tess/page-006.txt
page:2018-13:0007,2018,2018-13,7,Page 7 of 7,Periodic Transaction Report - attached transaction table,ptr_transactions,ptr,high,,2,0,docs/2018-13/pages/page-007.jpg,docs/2018-13/text/page-007.json,docs/2018-13/tess/page-007.txt
page:2018-14:0001,2018,2018-14,1,Page 1 of 14,Periodic Transaction Report,ptr_cover,ptr_cover,high,"# UNITED STATES HOUSE OF REPRESENTATIVES
## Periodic Transaction Report

**NAME:** Rohit Khanna
**OFFICE TELEPHONE:** (202) 225-2631

- [X] Member of the U.S. House of Representatives — State: CA, District: 17 (File an original and 2 copies)
- [ ] Officer or Employee — Employing Office: ______ (File an original and 1 copy)

**Did you purchase any shares that were allocated as a part of an Initial Public Offering?** [ ] Yes [X] No
(If you answered ""yes"" to this question, please contact the Committee on Ethics for further guidance.)

**Please indicate whether this is an initial report or an amended report:** [X] Initial Report [ ] Amendment
Date of Report Being Amended: ______

*A $200 penalty shall be assessed against anyone who files more than 30 days late.*

Stamps: ""HAND DELIVERED""; ""LEGISLATIVE RESOURCE CENTER 18 NOV -9 AM 9:31""; signature (For Official Use Only).

The transaction grid body reads: **""Please see the attached""** (no transaction rows on this page). Only the greyed Example row (JT / Mega Corp. Common Stock / Sale / 02/05/015 / 03/07/15 / amount B) is present.",0,0,docs/2018-14/pages/page-001.jpg,docs/2018-14/text/page-001.json,docs/2018-14/tess/page-001.txt
page:2018-14:0002,2018,2018-14,2,Page 2 of 14,Periodic Transaction Report - transaction attachment,ptr_transactions,ptr,high,,60,0,docs/2018-14/pages/page-002.jpg,docs/2018-14/text/page-002.json,docs/2018-14/tess/page-002.txt
page:2018-14:0003,2018,2018-14,3,Page 3 of 14,Periodic Transaction Report - transaction attachment,ptr_transactions,ptr,high,,60,0,docs/2018-14/pages/page-003.jpg,docs/2018-14/text/page-003.json,docs/2018-14/tess/page-003.txt
page:2018-14:0004,2018,2018-14,4,Page 4 of 14,Periodic Transaction Report - transaction attachment,ptr_transactions,ptr,high,,60,0,docs/2018-14/pages/page-004.jpg,docs/2018-14/text/page-004.json,docs/2018-14/tess/page-004.txt
page:2018-14:0005,2018,2018-14,5,Page 5 of 14,Periodic Transaction Report - transaction attachment,ptr_transactions,ptr,high,,60,0,docs/2018-14/pages/page-005.jpg,docs/2018-14/text/page-005.json,docs/2018-14/tess/page-005.txt
page:2018-14:0006,2018,2018-14,6,Page 6 of 14,Periodic Transaction Report - transaction attachment,ptr_transactions,ptr,high,,60,0,docs/2018-14/pages/page-006.jpg,docs/2018-14/text/page-006.json,docs/2018-14/tess/page-006.txt
page:2018-14:0007,2018,2018-14,7,Page 7 of 14,Periodic Transaction Report - transaction attachment,ptr_transactions,ptr,high,,60,0,docs/2018-14/pages/page-007.jpg,docs/2018-14/text/page-007.json,docs/2018-14/tess/page-007.txt
page:2018-14:0008,2018,2018-14,8,Page 8 of 14,Periodic Transaction Report - transaction attachment,ptr_transactions,ptr,high,,60,0,docs/2018-14/pages/page-008.jpg,docs/2018-14/text/page-008.json,docs/2018-14/tess/page-008.txt
page:2018-14:0009,2018,2018-14,9,Page 9 of 14,Periodic Transaction Report - transaction attachment,ptr_transactions,ptr,high,,60,1,docs/2018-14/pages/page-009.jpg,docs/2018-14/text/page-009.json,docs/2018-14/tess/page-009.txt
page:2018-14:0010,2018,2018-14,10,Page 10 of 14,Periodic Transaction Report - transaction attachment,ptr_transactions,ptr,high,,60,0,docs/2018-14/pages/page-010.jpg,docs/2018-14/text/page-010.json,docs/2018-14/tess/page-010.txt
page:2018-14:0011,2018,2018-14,11,Page 11 of 14,Periodic Transaction Report - transaction attachment,ptr_transactions,ptr,high,,60,1,docs/2018-14/pages/page-011.jpg,docs/2018-14/text/page-011.json,docs/2018-14/tess/page-011.txt
page:2018-14:0012,2018,2018-14,12,Page 12 of 14,Periodic Transaction Report - transaction attachment,ptr_transactions,ptr,high,,13,0,docs/2018-14/pages/page-012.jpg,docs/2018-14/text/page-012.json,docs/2018-14/tess/page-012.txt
page:2018-14:0013,2018,2018-14,13,Page 13 of 14,Periodic Transaction Report - transaction attachment,ptr_transactions,ptr,high,,7,1,docs/2018-14/pages/page-013.jpg,docs/2018-14/text/page-013.json,docs/2018-14/tess/page-013.txt
page:2018-14:0014,2018,2018-14,14,Page 14 of 14,Periodic Transaction Report - transaction attachment,ptr_transactions,ptr,high,"Footnote printed at bottom of page: ""11/10/2017 BOX, INC CL A - Transfer into Account $40,000.00""",6,2,docs/2018-14/pages/page-014.jpg,docs/2018-14/text/page-014.json,docs/2018-14/tess/page-014.txt
page:2018-15:0001,2018,2018-15,1,Page 1 of 11,UNITED STATES HOUSE OF REPRESENTATIVES - Periodic Transaction Report,ptr_cover,ptr_cover,high,"# UNITED STATES HOUSE OF REPRESENTATIVES
## Periodic Transaction Report

**NAME:** Rohit Khanna

**OFFICE TELEPHONE:** (202) 225-2631

- [X] Member of the U.S. House of Representatives — State: CA — District: 17 (File an original and 2 copies)
- [ ] Officer or Employee — Employing Office: ______ (File an original and 1 copy)

**Did you purchase any shares that were allocated as a part of an Initial Public Offering?** [ ] Yes  [X] No

*If you answered ""yes"" to this question, please contact the Committee on Ethics for further guidance.*

**Please indicate whether this is an initial report or an amended report.** [X] Initial Report  [ ] Amendment

**Date of Report Being Amended:** (blank)

*A $200 penalty shall be assessed against anyone who files more than 30 days late.*

Stamped: HAND DELIVERED — LEGISLATIVE RESOURCE CENTER — 18 DEC 10 PM 12:56 — U.S. House of Representatives (For Official Use Only)

**Transaction grid (blank on this page):** Columns — Full Asset Name; Type of Transaction (Purchase / Sale / Exchange); Date of Transaction (MM/DD/YY); Date Notified of Transaction (MM/DD/YY); Amount of Transaction A–K (A $1,001-$15,000; B $15,001-$50,000; C $50,001-$100,000; D $100,001-$250,000; E $250,001-$500,000; F $500,001-$1,000,000; G $1,000,001-$5,000,000; H $5,000,001-$25,000,000; I $25,000,001-$50,000,000; J Over $50,000,000; K Transaction in a Spouse or Dependent Child Asset over $1,000,000).

Example row (greyed): JT — Mega Corp. Common Stock — Sale — 02/05/015 — 03/07/15 — column B.

**Please see the attached**",0,0,docs/2018-15/pages/page-001.jpg,docs/2018-15/text/page-001.json,docs/2018-15/tess/page-001.txt
page:2018-15:0002,2018,2018-15,2,Page 2 of 11,Periodic Transaction Report - attached transaction table,ptr_transactions,ptr,high,,6,0,docs/2018-15/pages/page-002.jpg,docs/2018-15/text/page-002.json,docs/2018-15/tess/page-002.txt
page:2018-15:0003,2018,2018-15,3,Page 3 of 11,Periodic Transaction Report - attached transaction table,ptr_transactions,ptr,high,,6,1,docs/2018-15/pages/page-003.jpg,docs/2018-15/text/page-003.json,docs/2018-15/tess/page-003.txt
page:2018-15:0004,2018,2018-15,4,Page 4 of 11,Periodic Transaction Report - attached transaction table,ptr_transactions,ptr,high,,60,2,docs/2018-15/pages/page-004.jpg,docs/2018-15/text/page-004.json,docs/2018-15/tess/page-004.txt
page:2018-15:0005,2018,2018-15,5,Page 5 of 11,Periodic Transaction Report - attached transaction table,ptr_transactions,ptr,high,,60,1,docs/2018-15/pages/page-005.jpg,docs/2018-15/text/page-005.json,docs/2018-15/tess/page-005.txt
page:2018-15:0006,2018,2018-15,6,Page 6 of 11,Periodic Transaction Report - attached transaction table,ptr_transactions,ptr,high,,60,1,docs/2018-15/pages/page-006.jpg,docs/2018-15/text/page-006.json,docs/2018-15/tess/page-006.txt
page:2018-15:0007,2018,2018-15,7,Page 7 of 11,Periodic Transaction Report - attached transaction table,ptr_transactions,ptr,high,,60,2,docs/2018-15/pages/page-007.jpg,docs/2018-15/text/page-007.json,docs/2018-15/tess/page-007.txt
page:2018-15:0008,2018,2018-15,8,Page 8 of 11,Periodic Transaction Report - attached transaction table,ptr_transactions,ptr,high,,60,2,docs/2018-15/pages/page-008.jpg,docs/2018-15/text/page-008.json,docs/2018-15/tess/page-008.txt
page:2018-15:0009,2018,2018-15,9,Page 9 of 11,Periodic Transaction Report - attached transaction table,ptr_transactions,ptr,high,,60,0,docs/2018-15/pages/page-009.jpg,docs/2018-15/text/page-009.json,docs/2018-15/tess/page-009.txt
page:2018-15:0010,2018,2018-15,10,Page 10 of 11,Periodic Transaction Report - attached transaction table,ptr_transactions,ptr,high,,60,1,docs/2018-15/pages/page-010.jpg,docs/2018-15/text/page-010.json,docs/2018-15/tess/page-010.txt
page:2018-15:0011,2018,2018-15,11,Page 11 of 11,Periodic Transaction Report - attached transaction table,ptr_transactions,ptr,high,,25,0,docs/2018-15/pages/page-011.jpg,docs/2018-15/text/page-011.json,docs/2018-15/tess/page-011.txt
page:2018-16:0001,2018,2018-16,1,Page 1 of 11,Periodic Transaction Report,ptr_cover,ptr_cover,high,"# UNITED STATES HOUSE OF REPRESENTATIVES
## Periodic Transaction Report

- **NAME:** Rohit Khanna
- **OFFICE TELEPHONE:** (202) 225-2631
- **[X] Member of the U.S. House of Representatives** — State: CA, District: 17 (File an original and 2 copies)
- **[ ] Officer or Employee** — Employing Office: ______ (File an original and 1 copy)
- **Did you purchase any shares that were allocated as a part of an Initial Public Offering?** [ ] Yes  [X] No
- **Report type:** [X] Initial Report  [ ] Amendment
- **Date of Report Being Amended:** ______
- Stamp: LEGISLATIVE RESOURCE CENTER, 2019 JAN 11 AM 10:20, OFFICE OF THE CLERK, U.S. HOUSE OF REPRESENTATIVES. ""HAND DELIVERED.""
- Note: *A $200 penalty shall be assessed against anyone who files more than 30 days late.*

The transaction grid on this page contains only the greyed example row (Mega Corp. Common Stock) and the notation **""Please see the attached""** — no real data rows.",0,0,docs/2018-16/pages/page-001.jpg,docs/2018-16/text/page-001.json,docs/2018-16/tess/page-001.txt
page:2018-16:0002,2018,2018-16,2,Page 2 of 11,Periodic Transaction Report - attached transaction table,ptr_transactions,ptr,high,,5,1,docs/2018-16/pages/page-002.jpg,docs/2018-16/text/page-002.json,docs/2018-16/tess/page-002.txt
page:2018-16:0003,2018,2018-16,3,Page 3 of 11,Periodic Transaction Report - attached transaction table,ptr_transactions,ptr,high,,3,0,docs/2018-16/pages/page-003.jpg,docs/2018-16/text/page-003.json,docs/2018-16/tess/page-003.txt
page:2018-16:0004,2018,2018-16,4,Page 4 of 11,Periodic Transaction Report - attached transaction table,ptr_transactions,ptr,high,,60,0,docs/2018-16/pages/page-004.jpg,docs/2018-16/text/page-004.json,docs/2018-16/tess/page-004.txt
page:2018-16:0005,2018,2018-16,5,Page 5 of 11,Periodic Transaction Report - attached transaction table,ptr_transactions,ptr,high,,60,0,docs/2018-16/pages/page-005.jpg,docs/2018-16/text/page-005.json,docs/2018-16/tess/page-005.txt
page:2018-16:0006,2018,2018-16,6,Page 6 of 11,Periodic Transaction Report - attached transaction table,ptr_transactions,ptr,high,,60,1,docs/2018-16/pages/page-006.jpg,docs/2018-16/text/page-006.json,docs/2018-16/tess/page-006.txt
page:2018-16:0007,2018,2018-16,7,Page 7 of 11,Periodic Transaction Report - attached transaction table,ptr_transactions,ptr,high,,60,0,docs/2018-16/pages/page-007.jpg,docs/2018-16/text/page-007.json,docs/2018-16/tess/page-007.txt
page:2018-16:0008,2018,2018-16,8,Page 8 of 11,Periodic Transaction Report - attached transaction table,ptr_transactions,ptr,high,,59,0,docs/2018-16/pages/page-008.jpg,docs/2018-16/text/page-008.json,docs/2018-16/tess/page-008.txt
page:2018-16:0009,2018,2018-16,9,Page 9 of 11,Periodic Transaction Report - attached transaction table,ptr_transactions,ptr,high,,60,0,docs/2018-16/pages/page-009.jpg,docs/2018-16/text/page-009.json,docs/2018-16/tess/page-009.txt
page:2018-16:0010,2018,2018-16,10,Page 10 of 11,Periodic Transaction Report - attached transaction table,ptr_transactions,ptr,high,,60,0,docs/2018-16/pages/page-010.jpg,docs/2018-16/text/page-010.json,docs/2018-16/tess/page-010.txt
page:2018-16:0011,2018,2018-16,11,Page 11 of 11,Periodic Transaction Report - attached transaction table,ptr_transactions,ptr,high,,16,0,docs/2018-16/pages/page-011.jpg,docs/2018-16/text/page-011.json,docs/2018-16/tess/page-011.txt
page:2018-17:0001,2018,2018-17,1,Page 1 of 2,Periodic Transaction Report,ptr_cover,ptr_cover,high,"**UNITED STATES HOUSE OF REPRESENTATIVES**
**Periodic Transaction Report**

_Top-right:_ ""HAND DELIVERED""; ""Rohit Khanna  Page 1 of 2""; intake stamp ""LEGISLATIVE RESOURCE CENTER / 2019 FEB 15 AM 9:13"" with handwritten initials; ""(For Official Use Only)"".

**NAME:** Rohit Khanna

**OFFICE TELEPHONE:** 202-225-2631

- [X] Member of the U.S. House of Representatives — **State:** CA  **District:** 17 (File an original and 2 copies)
- [ ] Officer or Employee — Employing Office: _____ (File an original and 1 copy)

**Did you purchase any shares that were allocated as a part of an Initial Public Offering?** [ ] Yes  [X] No _(If you answered ""yes"" to this question, please contact the Committee on Ethics for further guidance.)_

**Please indicate whether this is an initial report or an amended report. For amendments, please provide the date of the report you are amending:**
- [ ] Initial Report
- [X] Amendment

**Date of Report Being Amended:** November 9, 2018

_A $200 penalty shall be assessed against anyone who files more than 30 days late._

**Transaction grid:** The first asset-name cell contains ""**Please see the attached**"". All checkbox cells (Type of Transaction, Amount of Transaction columns A–K) on the grid rows are blank; the only marked row is the pre-printed greyed Example row (Mega Corp. Common Stock — Sale, 02/05/2015, notified 03/07/2015, amount column B). No real transaction data is entered on this page; the transactions are on the attached table (page 2).",0,0,docs/2018-17/pages/page-001.jpg,docs/2018-17/text/page-001.json,docs/2018-17/tess/page-001.txt
page:2018-17:0002,2018,2018-17,2,Page 2 of 2,Periodic Transaction Report - attached transaction table,ptr_transactions,ptr,high,,7,0,docs/2018-17/pages/page-002.jpg,docs/2018-17/text/page-002.json,docs/2018-17/tess/page-002.txt
page:2018-18:0001,2018,2018-18,1,,MEMBER/OFFICER/EMPLOYEE FINANCIAL DISCLOSURE EXTENSION REQUEST FORM,letter,letter,high,"**COMMITTEE ON ETHICS** — U.S. House of Representatives

_Intake stamp:_ ""LEGISLATIVE RESOURCE CENTER / 2019 APR 30 PM 3:09 / OFFICE OF ... / U.S. HOUSE OF REPRESENTATIVES"" plus handwritten initials at top.

## MEMBER/OFFICER/EMPLOYEE
## FINANCIAL DISCLOSURE EXTENSION REQUEST FORM

**Name of Requestor:** Rohit Khanna _(Please type or print legibly)_   **Date:** April 3, 2019

**Employing Member/Committee/Office:** CA-17

**Financial Disclosure Statement Type (check one):**
- [X] Annual (CY 2018)
- [ ] Amendment
- [ ] New Employee
- [ ] Termination

**The length of time for which extension is requested (check one):**
- [ ] 30 days
- [ ] 60 days
- [X] 90 days
- [ ] Other _____ (any number of days or specific date)

### For Ethics Committee Use Only

**Days granted:** 90

_(If days granted differ from days requested)_

**Reason:** [ ] Total days requested exceeds 90.

Your request for an extension of time in which to file the Financial Disclosure Statement (FD) referenced above is hereby granted. Your FD must be filed on or before 8/13/19. The Ethics Committee may grant additional requests, which may not, in the aggregate, exceed 90 days from the original due date. Please note that if the date listed in this paragraph is on a weekend and you intend to file using the paper form, your FD must be received by the Clerk of the House no later than close of business on the last business day before this date or postmarked on or before that date.

**Date:** 4/29/19   _[signed]_ Theodore E. Deutch, Chairman

_[signed]_ Kenny Marchant, Ranking Member

Copy to: Legislative Resource Center, B-81 CHOB

_(This page will be publicly disclosed)_",0,1,docs/2018-18/pages/page-001.jpg,docs/2018-18/text/page-001.json,docs/2018-18/tess/page-001.txt
page:2019-2:0001,2019,2019-2,1,Page 1 of __,2019 FINANCIAL DISCLOSURE STATEMENT - Form A (cover),cover,cover,high,"**UNITED STATES HOUSE OF REPRESENTATIVES — 2019 FINANCIAL DISCLOSURE STATEMENT**

**Form A** — For Use by Members, Officers, and Employees

(Stamped: HAND DELIVERED; LEGISLATIVE RESOURCE CENTER; 2020 AUG 12 AM 10:16; OFFICE OF ... U.S. HOUSE OF REPRESENTATIVES)

Page 1 of __

- **Name:** Rohit Khanna
- **Daytime Telephone:** 202-225-2631
- Note: A $200 penalty shall be assessed against any individual who files more than 30 days late.

**FILER STATUS:** [X] Member of the U.S. House of Representatives — State: CA, District: 17. Officer or Employee: (blank). Staff Filer Type (If Applicable): Shared [ ], Principal Assistant [ ].

**REPORT TYPE:** [X] 2019 Annual (Due: May 15, 2020). Amendment [ ]. Termination [ ], Date of Termination: (blank).

**PRELIMINARY INFORMATION — ANSWER EACH OF THESE QUESTIONS**

- A. Did you, your spouse, or your dependent child: a. Own any reportable asset that was worth more than $1,000 at the end of the reporting period? or b. Receive more than $200 in unearned income from any reportable asset during the reporting period? — **Yes [X]** No [ ]
- B. Did you, your spouse, or your dependent child purchase, sell, or exchange any securities or reportable real estate in a transaction exceeding $1,000 during the reporting period? — **Yes [X]** No [ ]
- C. Did you or your spouse have ""earned"" income (e.g., salaries, honoraria, or pension/IRA distributions) of $200 or more during the reporting period? — Yes [ ] **No [X]**
- D. Did you, your spouse, or your dependent child have any reportable liability (more than $10,000) at any point during the reporting period? — **Yes [X]** No [ ]
- E. Did you hold any reportable positions during the reporting period or in the current calendar year up through the date of filing? — **Yes [X]** No [ ]
- F. Did you have any reportable agreement or arrangement with an outside entity during the reporting period or in the current calendar year up through the date of filing? — Yes [ ] **No [X]**
- G. Did you, your spouse, or your dependent child receive any reportable gift(s) totaling more than $390 in value from a single source during the reporting period? — Yes [ ] **No [X]**
- H. Did you, your spouse, or your dependent child receive any reportable travel or reimbursements for travel totaling more than $390 in value from a single source during the reporting period? — **Yes [X]** No [ ]
- I. Did any individual or organization make a donation to charity in lieu of paying you for a speech, appearance, or article during the reporting period? — Yes [ ] **No [X]**

ATTACH THE CORRESPONDING SCHEDULE IF YOU ANSWER ""YES""

**IPO AND EXCLUSION OF SPOUSE, DEPENDENT, OR TRUST INFORMATION — ANSWER EACH OF THESE QUESTIONS**

- IPO — Did you purchase any shares that were allocated as a part of an Initial Public Offering during the reporting period? — Yes [ ] **No [X]**
- TRUSTS — Have you excluded from this report details of a ""Qualified Blind Trust"" or certain other ""excepted trusts"" that benefits you, your spouse, or dependent child? — Yes [ ] **No [X]**
- EXEMPTION — Have you excluded from this report any other assets, ""unearned"" income, transactions, or liabilities of a spouse or your dependent child because they meet all three tests for exemption? — Yes [ ] **No [X]**

(Signature initials ""MC"" handwritten at top right.)",0,0,docs/2019-2/pages/page-001.jpg,docs/2019-2/text/page-001.json,docs/2019-2/tess/page-001.txt
page:2019-2:0002,2019,2019-2,2,Rohit Khanna 2 of 210,"SCHEDULE A - ASSETS & ""UNEARNED INCOME""",schedule_a,schedule_a,high,"Schedule A grid header page. Name: Rohit Khanna. Page ___ of ___. The single data area contains only the typed line **""Please see the attached""**; all subsequent grid rows are blank. Footer: ""Use additional sheets if more space is required.""",0,0,docs/2019-2/pages/page-002.jpg,docs/2019-2/text/page-002.json,docs/2019-2/tess/page-002.txt
page:2019-2:0003,2019,2019-2,3,Rohit Khanna 3 of 210,"SCHEDULE A - ASSETS & ""UNEARNED INCOME""",schedule_a,schedule_a,high,"Schedule A grid page. Name: Rohit Khanna. Page ___ of ___. Typed entries in the Asset Name column only: **""Note: More than 95% of assets are spousal""** and **""Please see the attached""**. No checkbox columns marked. Footer: ""Use additional sheets if more space is required.""",1,0,docs/2019-2/pages/page-003.jpg,docs/2019-2/text/page-003.json,docs/2019-2/tess/page-003.txt
page:2019-2:0004,2019,2019-2,4,Rohit Khanna 4 of 210,"Schedule A: Assets and ""Unearned"" Income",schedule_a,schedule_a,high,,23,1,docs/2019-2/pages/page-004.jpg,docs/2019-2/text/page-004.json,docs/2019-2/tess/page-004.txt
page:2019-2:0005,2019,2019-2,5,Rohit Khanna 5 of 210,"Schedule A: Assets and ""Unearned"" Income",schedule_a,schedule_a,high,,25,0,docs/2019-2/pages/page-005.jpg,docs/2019-2/text/page-005.json,docs/2019-2/tess/page-005.txt
page:2019-2:0006,2019,2019-2,6,Rohit Khanna 6 of 210,"Schedule A: Assets and ""Unearned"" Income",schedule_a,schedule_a,high,,15,2,docs/2019-2/pages/page-006.jpg,docs/2019-2/text/page-006.json,docs/2019-2/tess/page-006.txt
page:2019-2:0007,2019,2019-2,7,Rohit Khanna 7 of 210,"Schedule A: Assets and ""Unearned"" Income",schedule_a,schedule_a,high,,5,2,docs/2019-2/pages/page-007.jpg,docs/2019-2/text/page-007.json,docs/2019-2/tess/page-007.txt
page:2019-2:0008,2019,2019-2,8,Rohit Khanna 8 of 210,"Schedule A: Assets and ""Unearned"" Income",schedule_a,schedule_a,high,,5,1,docs/2019-2/pages/page-008.jpg,docs/2019-2/text/page-008.json,docs/2019-2/tess/page-008.txt
page:2019-2:0009,2019,2019-2,9,Rohit Khanna 9 of 210,"Schedule A: Assets and ""Unearned"" Income",schedule_a,schedule_a,high,,5,0,docs/2019-2/pages/page-009.jpg,docs/2019-2/text/page-009.json,docs/2019-2/tess/page-009.txt
page:2019-2:0010,2019,2019-2,10,Rohit Khanna 10 of 210,"Schedule A: Assets and ""Unearned"" Income",schedule_a,schedule_a,high,,5,0,docs/2019-2/pages/page-010.jpg,docs/2019-2/text/page-010.json,docs/2019-2/tess/page-010.txt
page:2019-2:0011,2019,2019-2,11,Rohit Khanna 11 of 210,"Schedule A: Assets and ""Unearned"" Income",schedule_a,schedule_a,high,,5,0,docs/2019-2/pages/page-011.jpg,docs/2019-2/text/page-011.json,docs/2019-2/tess/page-011.txt
page:2019-2:0012,2019,2019-2,12,Rohit Khanna 12 of 210,"Schedule A: Assets and ""Unearned"" Income",schedule_a,schedule_a,high,,5,0,docs/2019-2/pages/page-012.jpg,docs/2019-2/text/page-012.json,docs/2019-2/tess/page-012.txt
page:2019-2:0013,2019,2019-2,13,Rohit Khanna 13 of 210,"Schedule A: Assets and ""Unearned"" Income",schedule_a,schedule_a,high,,4,0,docs/2019-2/pages/page-013.jpg,docs/2019-2/text/page-013.json,docs/2019-2/tess/page-013.txt
page:2019-2:0014,2019,2019-2,14,Rohit Khanna 14 of 210,"Schedule A: Assets and ""Unearned"" Income",schedule_a,schedule_a,high,,4,0,docs/2019-2/pages/page-014.jpg,docs/2019-2/text/page-014.json,docs/2019-2/tess/page-014.txt
page:2019-2:0015,2019,2019-2,15,Rohit Khanna 15 of 210,"Schedule A: Assets and ""Unearned"" Income",schedule_a,schedule_a,high,,4,0,docs/2019-2/pages/page-015.jpg,docs/2019-2/text/page-015.json,docs/2019-2/tess/page-015.txt
page:2019-2:0016,2019,2019-2,16,Rohit Khanna 16 of 210,"Schedule A: Assets and ""Unearned"" Income",schedule_a,schedule_a,high,,2,1,docs/2019-2/pages/page-016.jpg,docs/2019-2/text/page-016.json,docs/2019-2/tess/page-016.txt
page:2019-2:0017,2019,2019-2,17,Rohit Khanna 17 of 210,"Schedule A: Assets and ""Unearned"" Income",schedule_a,schedule_a,high,,5,0,docs/2019-2/pages/page-017.jpg,docs/2019-2/text/page-017.json,docs/2019-2/tess/page-017.txt
page:2019-2:0018,2019,2019-2,18,Rohit Khanna 18 of 210,"Schedule A: Assets and ""Unearned"" Income",schedule_a,schedule_a,high,,5,2,docs/2019-2/pages/page-018.jpg,docs/2019-2/text/page-018.json,docs/2019-2/tess/page-018.txt
page:2019-2:0019,2019,2019-2,19,Rohit Khanna 19 of 210,"Schedule A: Assets and ""Unearned"" Income",schedule_a,schedule_a,high,,5,1,docs/2019-2/pages/page-019.jpg,docs/2019-2/text/page-019.json,docs/2019-2/tess/page-019.txt
page:2019-2:0020,2019,2019-2,20,Rohit Khanna 20 of 210,"Schedule A: Assets and ""Unearned"" Income",schedule_a,schedule_a,high,,5,0,docs/2019-2/pages/page-020.jpg,docs/2019-2/text/page-020.json,docs/2019-2/tess/page-020.txt
page:2019-2:0021,2019,2019-2,21,Rohit Khanna 21 of 210,"Schedule A: Assets and ""Unearned"" Income",schedule_a,schedule_a,high,,5,0,docs/2019-2/pages/page-021.jpg,docs/2019-2/text/page-021.json,docs/2019-2/tess/page-021.txt
page:2019-2:0022,2019,2019-2,22,Rohit Khanna 22 of 210,"Schedule A: Assets and ""Unearned"" Income",schedule_a,schedule_a,high,,5,0,docs/2019-2/pages/page-022.jpg,docs/2019-2/text/page-022.json,docs/2019-2/tess/page-022.txt
page:2019-2:0023,2019,2019-2,23,Rohit Khanna 23 of 210,"Schedule A: Assets and ""Unearned"" Income",schedule_a,schedule_a,high,,5,0,docs/2019-2/pages/page-023.jpg,docs/2019-2/text/page-023.json,docs/2019-2/tess/page-023.txt
page:2019-2:0024,2019,2019-2,24,Rohit Khanna 24 of 210,"Schedule A: Assets and ""Unearned"" Income",schedule_a,schedule_a,high,,5,0,docs/2019-2/pages/page-024.jpg,docs/2019-2/text/page-024.json,docs/2019-2/tess/page-024.txt
page:2019-2:0025,2019,2019-2,25,Rohit Khanna 25 of 210,Areco Schedule A,schedule_a,schedule_a,high,,5,0,docs/2019-2/pages/page-025.jpg,docs/2019-2/text/page-025.json,docs/2019-2/tess/page-025.txt
page:2019-2:0026,2019,2019-2,26,Rohit Khanna 26 of 210,Areco Schedule A,schedule_a,schedule_a,high,,5,0,docs/2019-2/pages/page-026.jpg,docs/2019-2/text/page-026.json,docs/2019-2/tess/page-026.txt
page:2019-2:0027,2019,2019-2,27,Rohit Khanna 27 of 210,Areco Schedule A,schedule_a,schedule_a,high,,5,0,docs/2019-2/pages/page-027.jpg,docs/2019-2/text/page-027.json,docs/2019-2/tess/page-027.txt
page:2019-2:0028,2019,2019-2,28,Rohit Khanna 28 of 210,Areco Schedule A,schedule_a,schedule_a,high,,5,1,docs/2019-2/pages/page-028.jpg,docs/2019-2/text/page-028.json,docs/2019-2/tess/page-028.txt
page:2019-2:0029,2019,2019-2,29,Rohit Khanna 29 of 210,Schedule A: Assets and Unearned Income,schedule_a,schedule_a,low,,73,3,docs/2019-2/pages/page-029.jpg,docs/2019-2/text/page-029.json,docs/2019-2/tess/page-029.txt
page:2019-2:0030,2019,2019-2,30,Rohit Khanna 30 of 210,Schedule A: Assets and Unearned Income,schedule_a,schedule_a,low,,73,3,docs/2019-2/pages/page-030.jpg,docs/2019-2/text/page-030.json,docs/2019-2/tess/page-030.txt
page:2019-2:0031,2019,2019-2,31,Rohit Khanna 31 of 210,Schedule A: Assets and Unearned Income,schedule_a,schedule_a,medium,,73,7,docs/2019-2/pages/page-031.jpg,docs/2019-2/text/page-031.json,docs/2019-2/tess/page-031.txt
page:2019-2:0032,2019,2019-2,32,Rohit Khanna 32 of 210,Schedule A: Assets and Unearned Income,schedule_a,schedule_a,medium,,73,8,docs/2019-2/pages/page-032.jpg,docs/2019-2/text/page-032.json,docs/2019-2/tess/page-032.txt
page:2019-2:0033,2019,2019-2,33,Rohit Khanna 33 of 210,Schedule A: Assets and Unearned Income,schedule_a,schedule_a,medium,,73,11,docs/2019-2/pages/page-033.jpg,docs/2019-2/text/page-033.json,docs/2019-2/tess/page-033.txt
page:2019-2:0034,2019,2019-2,34,Rohit Khanna 34 of 210,Schedule A: Assets and Unearned Income,schedule_a,schedule_a,medium,,73,12,docs/2019-2/pages/page-034.jpg,docs/2019-2/text/page-034.json,docs/2019-2/tess/page-034.txt
